quarter,state,price_index
Unit,Residential Property Price Index ;  Sydney ;,Index Numbers
2021-03-01 00:00:00,Residential Property Price Index ;  Adelaide ;,131.3
2021-06-01 00:00:00,Residential Property Price Index ;  Adelaide ;,138.3
2021-09-01 00:00:00,Residential Property Price Index ;  Adelaide ;,146.4
2021-12-01 00:00:00,Residential Property Price Index ;  Adelaide ;,156.3
Unit,Residential Property Price Index ;  Perth ;,Index Numbers
Series Type,Residential Property Price Index ;  Perth ;,Original
Data Type,Residential Property Price Index ;  Perth ;,INDEX
Frequency,Residential Property Price Index ;  Perth ;,Quarter
Collection Month,Residential Property Price Index ;  Perth ;,3
Series Start,Residential Property Price Index ;  Perth ;,2003-09-01 00:00:00
Series End,Residential Property Price Index ;  Perth ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index ;  Perth ;,74
Series ID,Residential Property Price Index ;  Perth ;,A83728419C
2003-09-01 00:00:00,Residential Property Price Index ;  Perth ;,48.3
2003-12-01 00:00:00,Residential Property Price Index ;  Perth ;,50.6
2004-03-01 00:00:00,Residential Property Price Index ;  Perth ;,52.5
2004-06-01 00:00:00,Residential Property Price Index ;  Perth ;,53.7
2004-09-01 00:00:00,Residential Property Price Index ;  Perth ;,54.7
2004-12-01 00:00:00,Residential Property Price Index ;  Perth ;,57.1
2005-03-01 00:00:00,Residential Property Price Index ;  Perth ;,59.4
2005-06-01 00:00:00,Residential Property Price Index ;  Perth ;,62.6
2005-09-01 00:00:00,Residential Property Price Index ;  Perth ;,65.2
2005-12-01 00:00:00,Residential Property Price Index ;  Perth ;,70
2006-03-01 00:00:00,Residential Property Price Index ;  Perth ;,75.6
2006-06-01 00:00:00,Residential Property Price Index ;  Perth ;,86.4
2006-09-01 00:00:00,Residential Property Price Index ;  Perth ;,95.1
2006-12-01 00:00:00,Residential Property Price Index ;  Perth ;,98.4
2007-03-01 00:00:00,Residential Property Price Index ;  Perth ;,99
2007-06-01 00:00:00,Residential Property Price Index ;  Perth ;,97.7
2007-09-01 00:00:00,Residential Property Price Index ;  Perth ;,99.4
2007-12-01 00:00:00,Residential Property Price Index ;  Perth ;,100.6
2008-03-01 00:00:00,Residential Property Price Index ;  Perth ;,99.5
2008-06-01 00:00:00,Residential Property Price Index ;  Perth ;,97.6
2008-09-01 00:00:00,Residential Property Price Index ;  Perth ;,95.3
2008-12-01 00:00:00,Residential Property Price Index ;  Perth ;,92.9
2009-03-01 00:00:00,Residential Property Price Index ;  Perth ;,92.5
2009-06-01 00:00:00,Residential Property Price Index ;  Perth ;,95.1
2009-09-01 00:00:00,Residential Property Price Index ;  Perth ;,97.6
2009-12-01 00:00:00,Residential Property Price Index ;  Perth ;,103.5
2010-03-01 00:00:00,Residential Property Price Index ;  Perth ;,106.5
2010-06-01 00:00:00,Residential Property Price Index ;  Perth ;,106.6
2010-09-01 00:00:00,Residential Property Price Index ;  Perth ;,103.8
2010-12-01 00:00:00,Residential Property Price Index ;  Perth ;,103.9
2011-03-01 00:00:00,Residential Property Price Index ;  Perth ;,103
2011-06-01 00:00:00,Residential Property Price Index ;  Perth ;,100.2
2011-09-01 00:00:00,Residential Property Price Index ;  Perth ;,99.1
2011-12-01 00:00:00,Residential Property Price Index ;  Perth ;,99.4
2012-03-01 00:00:00,Residential Property Price Index ;  Perth ;,100.5
2012-06-01 00:00:00,Residential Property Price Index ;  Perth ;,101
2012-09-01 00:00:00,Residential Property Price Index ;  Perth ;,102.1
2012-12-01 00:00:00,Residential Property Price Index ;  Perth ;,105.2
2013-03-01 00:00:00,Residential Property Price Index ;  Perth ;,107.5
2013-06-01 00:00:00,Residential Property Price Index ;  Perth ;,110.6
2013-09-01 00:00:00,Residential Property Price Index ;  Perth ;,110.7
2013-12-01 00:00:00,Residential Property Price Index ;  Perth ;,113.9
2014-03-01 00:00:00,Residential Property Price Index ;  Perth ;,114.8
2014-06-01 00:00:00,Residential Property Price Index ;  Perth ;,114.8
2014-09-01 00:00:00,Residential Property Price Index ;  Perth ;,114.5
2014-12-01 00:00:00,Residential Property Price Index ;  Perth ;,114.5
2015-03-01 00:00:00,Residential Property Price Index ;  Perth ;,114.4
